C-1 Long
C#-1 LongCS
D-1 LongHarmonics
D#-1 LongFlautando
E-1 LongSulPont
F-1 LongSulC
F#-1 MarcatoAttack
G-1 Spiccato
G#-1 Short0.5
A-1 Short1.0
A#-1 ShortBrushed
B-1 ShortBrushedCS
C0 ShortHarmonics
C#0 ShortCS
D0 Pizzicato
D#0 PizzicatoBartok
E0 ColLegno
F0 LongCSSulPoint
F#0 LongSuperSulTasto
G0 LongRachmaninov
G#0 LongCSBlend
A0 Tremolo
A#0 TremSulPont
B0 TremCS
C1 TremMS-150bpm
C#1 TremMS-180bpm
D TrillMinor2nd
D#1 TrillMajor2nd
E1 Fx
