C-1 Long
C#-1 LongHarmonics
D-1 LongFlautando
D#-1 LongSulPont
E-1 MarcatoAttack
F-1 Spiccato
F#-1 Short0.5
G-1 Short1.0
G#-1 StaccatoDig
A-1 ShortSpicc-Pizz
A#-1 ShortHarmonics
B-1 Pizzicato
C0 PizzicatoBartok
C#0 ColLegno
D0 LongSuperSulTasto
D#0 LongSulPontDist
E0 Tremolo
F0 TremSulPont
F#0 TremMS-150bpm
G0 TremMS-180bpm
G#0 TrillMinor2nd
A0 TrillMajor2nd
A#0 Fx
